Frame,Class,Distance (m),Timestamp (s)
10,car,19.9,0.33
10,car,22.05,0.33
10,car,21.57,0.33
20,car,18.64,0.67
20,car,23.27,0.67
30,car,19.37,1.0
30,car,21.3,1.0
30,car,21.15,1.0
40,car,19.67,1.33
40,car,21.54,1.33
40,car,21.0,1.33
50,car,19.56,1.67
50,car,21.72,1.67
50,car,21.0,1.67
60,car,19.53,2.0
60,car,22.06,2.0
60,car,21.17,2.0
70,car,19.48,2.33
70,car,21.9,2.33
70,car,21.2,2.33
80,car,19.42,2.67
80,car,22.0,2.67
80,car,21.31,2.67
90,car,19.34,3.0
90,car,21.84,3.0
90,car,21.22,3.0
100,car,19.37,3.33
100,car,21.71,3.33
100,car,21.25,3.33
110,car,19.37,3.67
110,car,22.21,3.67
110,car,21.12,3.67
110,car,24.29,3.67
120,car,19.38,4.0
120,car,22.3,4.0
120,car,21.11,4.0
130,car,19.46,4.33
130,car,22.42,4.33
130,car,21.14,4.33
140,car,19.59,4.67
140,car,22.74,4.67
140,car,21.01,4.67
150,car,19.53,5.0
150,car,22.53,5.0
150,car,21.08,5.0
160,car,19.71,5.33
160,car,22.49,5.33
160,car,21.02,5.33
170,car,19.73,5.67
170,car,22.47,5.67
170,car,20.98,5.67
180,car,20.22,6.0
180,car,22.62,6.0
180,car,21.16,6.0
190,car,20.27,6.33
190,car,22.08,6.33
200,car,20.12,6.67
200,car,22.01,6.67
210,car,20.27,7.0
210,car,22.18,7.0
220,car,20.46,7.33
220,car,22.08,7.33
230,car,20.1,7.67
230,car,22.18,7.67
240,car,19.48,8.0
240,car,22.51,8.0
240,person,9.62,8.0
250,person,9.28,8.33
250,car,21.34,8.33
250,car,19.1,8.33
260,person,9.2,8.67
260,car,18.98,8.67
260,car,21.73,8.67
270,person,9.38,9.0
270,car,19.3,9.0
270,car,22.2,9.0
270,car,21.1,9.0
280,person,9.21,9.33
280,car,18.92,9.33
280,car,21.94,9.33
290,person,9.66,9.67
290,car,18.92,9.67
290,car,22.01,9.67
290,car,21.27,9.67
300,person,9.45,10.0
300,car,18.9,10.0
300,car,21.58,10.0
300,car,20.9,10.0
310,person,9.18,10.33
310,car,18.83,10.33
310,car,21.7,10.33
310,car,20.91,10.33
320,person,9.52,10.67
320,car,18.89,10.67
320,car,21.53,10.67
320,car,20.95,10.67
330,person,9.79,11.0
330,car,18.7,11.0
330,car,20.85,11.0
340,person,9.56,11.33
340,car,18.88,11.33
340,car,21.69,11.33
350,person,9.39,11.67
350,car,19.01,11.67
350,car,21.59,11.67
350,car,24.08,11.67
360,person,9.86,12.0
360,car,19.39,12.0
360,car,21.7,12.0
370,person,9.6,12.33
370,car,19.92,12.33
370,car,20.93,12.33
370,car,22.77,12.33
380,car,19.97,12.67
380,person,9.96,12.67
380,person,13.61,12.67
390,car,19.57,13.0
390,person,16.28,13.0
390,person,29.2,13.0
400,person,9.57,13.33
400,car,19.38,13.33
400,car,23.77,13.33
410,person,9.5,13.67
410,car,23.71,13.67
410,car,19.15,13.67
420,person,9.47,14.0
420,car,19.15,14.0
420,car,22.83,14.0
430,person,9.59,14.33
430,car,19.18,14.33
430,car,22.95,14.33
430,car,22.88,14.33
440,person,9.43,14.67
440,car,18.97,14.67
440,car,22.37,14.67
440,car,22.28,14.67
450,person,9.34,15.0
450,car,18.96,15.0
450,car,24.38,15.0
450,car,24.91,15.0
460,person,9.39,15.33
460,car,18.74,15.33
460,car,22.58,15.33
460,car,24.41,15.33
470,person,9.4,15.67
470,car,19.46,15.67
470,car,24.48,15.67
470,car,24.73,15.67
480,person,9.59,16.0
480,car,19.65,16.0
480,car,23.34,16.0
480,car,24.7,16.0
490,car,19.26,16.33
490,person,9.93,16.33
490,car,22.63,16.33
490,car,24.5,16.33
500,person,9.64,16.67
500,car,18.82,16.67
500,car,21.37,16.67
500,car,22.36,16.67
510,person,9.49,17.0
510,car,18.61,17.0
510,car,21.57,17.0
510,car,22.16,17.0
520,person,9.61,17.33
520,car,18.93,17.33
520,car,21.78,17.33
520,car,22.45,17.33
530,person,9.45,17.67
530,car,19.33,17.67
530,car,22.25,17.67
540,person,9.54,18.0
540,car,19.13,18.0
540,car,22.24,18.0
540,car,20.72,18.0
540,car,22.64,18.0
550,person,9.47,18.33
550,car,18.98,18.33
550,car,21.8,18.33
550,car,20.98,18.33
560,person,9.83,18.67
560,car,19.1,18.67
560,car,21.91,18.67
560,car,20.88,18.67
570,person,9.24,19.0
570,car,19.32,19.0
570,car,20.69,19.0
570,car,21.79,19.0
580,person,9.38,19.33
580,car,19.23,19.33
580,car,21.66,19.33
580,car,20.7,19.33
590,person,9.3,19.67
590,car,19.21,19.67
590,car,21.89,19.67
590,car,20.65,19.67
600,person,8.42,20.0
600,car,19.17,20.0
600,car,21.94,20.0
600,car,20.75,20.0
610,person,8.37,20.33
610,car,19.54,20.33
610,car,21.72,20.33
610,car,21.03,20.33
620,person,7.44,20.67
620,car,19.32,20.67
620,car,22.91,20.67
620,car,24.01,20.67
620,car,20.92,20.67
630,person,7.79,21.0
630,car,19.05,21.0
630,car,22.77,21.0
640,person,6.86,21.33
640,car,22.8,21.33
640,car,18.81,21.33
650,person,6.98,21.67
650,car,23.31,21.67
650,car,18.95,21.67
660,person,6.72,22.0
660,car,24.22,22.0
660,car,18.69,22.0
660,car,26.37,22.0
670,person,6.32,22.33
670,car,18.81,22.33
670,car,24.39,22.33
680,person,5.96,22.67
680,car,18.69,22.67
680,car,24.69,22.67
680,car,27.3,22.67
690,person,5.72,23.0
690,car,18.46,23.0
690,car,24.21,23.0
690,car,26.47,23.0
700,person,5.07,23.33
700,car,18.5,23.33
700,car,23.63,23.33
700,car,25.73,23.33
710,car,18.7,23.67
710,car,23.87,23.67
710,person,5.6,23.67
710,car,25.42,23.67
710,person,5.63,23.67
710,person,4.56,23.67
720,person,4.35,24.0
720,car,24.0,24.0
720,car,25.51,24.0
730,person,3.75,24.33
730,car,19.04,24.33
730,car,24.43,24.33
730,car,25.99,24.33
740,person,3.64,24.67
740,car,18.97,24.67
740,car,24.85,24.67
740,car,26.19,24.67
750,car,19.16,25.0
750,car,22.44,25.0
750,car,20.31,25.0
760,car,19.07,25.33
760,car,21.91,25.33
760,car,20.45,25.33
770,car,19.11,25.67
770,car,21.53,25.67
780,car,19.55,26.0
780,car,21.56,26.0
790,car,19.26,26.33
790,car,21.55,26.33
800,car,19.08,26.67
800,car,22.44,26.67
800,car,20.35,26.67
810,car,18.81,27.0
810,car,22.06,27.0
820,car,18.81,27.33
820,car,22.98,27.33
820,car,25.16,27.33
830,car,18.89,27.67
830,car,22.3,27.67
830,car,24.35,27.67
840,car,19.09,28.0
840,car,22.29,28.0
840,car,20.46,28.0
